Date,Open,High,Low,Close,Volume
2020-11-09,0.96,0.96,0.96,0.96,0
2020-11-10,0.98,0.98,0.98,0.98,0
2020-11-11,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0
2020-11-12,0.88,0.88,0.88,0.88,0
2020-11-13,0.89,0.89,0.89,0.89,0
2020-11-16,0.91,0.91,0.91,0.91,0
2020-11-17,0.87,0.87,0.87,0.87,0
2020-11-18,0.88,0.88,0.88,0.88,0
2020-11-19,0.86,0.86,0.86,0.86,0
2020-11-20,0.83,0.83,0.83,0.83,0
2020-11-23,0.86,0.86,0.86,0.86,0
2020-11-24,0.88,0.88,0.88,0.88,0
2020-11-25,0.88,0.88,0.88,0.88,0
2020-11-26,0.86,0.86,0.86,0.86,0
2020-11-27,0.84,0.84,0.84,0.84,0
2020-11-30,0.84,0.84,0.84,0.84,0
2020-12-01,0.92,0.92,0.92,0.92,0
2020-12-02,0.95,0.95,0.95,0.95,0
2020-12-03,0.92,0.92,0.92,0.92,0
2020-12-04,0.97,0.97,0.97,0.97,0
2020-12-07,0.94,0.94,0.94,0.94,0
2020-12-08,0.92,0.92,0.92,0.92,0
2020-12-09,0.95,0.95,0.95,0.95,0
2020-12-10,0.92,0.92,0.92,0.92,0
2020-12-11,0.9,0.9,0.9,0.9,0
2020-12-14,0.9,0.9,0.9,0.9,0
2020-12-15,0.92,0.92,0.92,0.92,0
2020-12-16,0.92,0.92,0.92,0.92,0
2020-12-17,0.94,0.94,0.94,0.94,0
2020-12-18,0.95,0.95,0.95,0.95,0
2020-12-21,0.95,0.95,0.95,0.95,0
2020-12-22,0.93,0.93,0.93,0.93,0
2020-12-23,0.96,0.96,0.96,0.96,0
2020-12-24,0.94,0.94,0.94,0.94,0
2020-12-25,0.94,0.94,0.94,0.94,0
2020-12-28,0.94,0.94,0.94,0.94,0
2020-12-29,0.94,0.94,0.94,0.94,0
2020-12-30,0.93,0.93,0.93,0.93,0
2020-12-31,0.93,0.93,0.93,0.93,0
