Date,ticker,Open,Close,High,Low,Volume
1998-03-12,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1998-03-13,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1998-03-16,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1998-03-17,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1998-03-18,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1998-03-19,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1998-03-20,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1998-03-23,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1998-03-24,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1998-03-25,BAMLH0A0HYM2,2.78,2.78,2.78,2.78,0
1998-03-26,BAMLH0A0HYM2,2.75,2.75,2.75,2.75,0
1998-03-27,BAMLH0A0HYM2,2.73,2.73,2.73,2.73,0
1998-03-30,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1998-03-31,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1998-04-01,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1998-04-02,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1998-04-03,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1998-04-06,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1998-04-07,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1998-04-08,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1998-04-09,BAMLH0A0HYM2,2.86,2.86,2.86,2.86,0
1998-04-10,BAMLH0A0HYM2,,,,,0
1998-04-13,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1998-04-14,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1998-04-15,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1998-04-16,BAMLH0A0HYM2,2.86,2.86,2.86,2.86,0
1998-04-17,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1998-04-20,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1998-04-21,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1998-04-22,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1998-04-23,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1998-04-24,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1998-04-27,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1998-04-28,BAMLH0A0HYM2,2.78,2.78,2.78,2.78,0
1998-04-29,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1998-04-30,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-05-01,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-05-04,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1998-05-05,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1998-05-06,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1998-05-07,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1998-05-08,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1998-05-11,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1998-05-12,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-05-13,BAMLH0A0HYM2,3.0,3.0,3.0,3.0,0
1998-05-14,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-05-15,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1998-05-18,BAMLH0A0HYM2,3.02,3.02,3.02,3.02,0
1998-05-19,BAMLH0A0HYM2,3.02,3.02,3.02,3.02,0
1998-05-20,BAMLH0A0HYM2,3.04,3.04,3.04,3.04,0
1998-05-21,BAMLH0A0HYM2,3.0,3.0,3.0,3.0,0
